,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
0,Accomack,County,VA,1.07,1.07,1.07,1.07,1.07,1.07
1,Adams,County,PA,1.11,1.11,1.1,1.08,1.06,1.05
2,Albemarle,County,VA,1.12,1.12,1.12,1.12,1.12,1.13
3,Alexandria,City,VA,1.07,1.05,1.05,1.05,1.06,1.07
4,Allegany,County,MD,1.08,1.09,1.09,1.1,1.1,1.11
5,Allegany,County,NY,1.09,1.07,1.08,1.07,1.07,1.08
6,Alleghany,County,VA,1.09,1.1,1.09,1.11,1.13,1.16
7,Allegheny,County,PA,1.08,1.07,1.07,1.07,1.09,1.11
8,Amelia,County,VA,1.07,1.06,1.07,1.1,1.13,1.15
9,Amherst,County,VA,1.1,1.11,1.12,1.12,1.12,1.14
10,Anne Arundel,County,MD,1.06,1.05,1.04,1.05,1.05,1.05
11,Appomattox,County,VA,1.11,1.12,1.12,1.11,1.11,1.12
12,Arlington,County,VA,1.07,1.05,1.05,1.05,1.05,1.05
13,Armstrong,County,PA,1.07,1.08,1.07,1.07,1.08,1.11
14,Atlantic,County,NJ,1.11,1.12,1.12,1.11,1.11,1.12
15,Augusta,County,VA,1.1,1.11,1.12,1.12,1.12,1.11
16,Baltimore,County,MD,1.07,1.08,1.09,1.08,1.08,1.07
17,Baltimore,County,MD,1.08,1.09,1.09,1.07,1.06,1.08
18,Barbour,County,WV,1.05,1.07,1.07,1.06,1.06,1.05
19,Bath,County,VA,1.1,1.11,1.12,1.11,1.11,1.12
20,Beaver,County,PA,1.07,1.06,1.06,1.06,1.07,1.08
21,Bedford,County,PA,1.1,1.11,1.13,1.16,1.17,1.17
22,Bedford,County,VA,1.1,1.11,1.12,1.13,1.13,1.14
23,Berkeley,County,WV,1.09,1.09,1.11,1.12,1.12,1.12
24,Berks,County,PA,1.1,1.1,1.1,1.1,1.1,1.11
25,Blair,County,PA,1.09,1.1,1.11,1.14,1.15,1.15
26,Bland,County,VA,1.08,1.08,1.09,1.1,1.11,1.14
27,Boone,County,WV,1.07,1.07,1.07,1.08,1.09,1.09
28,Botetourt,County,VA,1.11,1.12,1.14,1.15,1.15,1.16
29,Bradford,County,PA,1.07,1.08,1.09,1.13,1.15,1.18
30,Braxton,County,WV,1.06,1.07,1.07,1.06,1.06,1.05
31,Bristol,City,VA,1.07,1.07,1.07,1.08,1.08,1.09
32,Bronx,County,NY,1.09,1.08,1.07,1.04,1.03,1.03
33,Brooke,County,WV,1.1,1.1,1.1,1.09,1.09,1.08
34,Broome,County,NY,1.08,1.09,1.09,1.11,1.11,1.12
35,Brunswick,County,VA,1.08,1.09,1.08,1.08,1.07,1.07
36,Buchanan,County,VA,1.08,1.08,1.07,1.06,1.07,1.07
37,Buckingham,County,VA,1.09,1.08,1.1,1.11,1.12,1.13
38,Bucks,County,PA,1.08,1.08,1.07,1.07,1.07,1.07
39,Buena Vista,City,VA,1.09,1.09,1.1,1.11,1.11,1.12
40,Burlington,County,NJ,1.07,1.06,1.06,1.07,1.08,1.09
